order_id,customer_id,product_name,category,quantity,unit_price,discount,region,order_status,order_date,payment_mode,sales_person
142,CUST1142,Cabinet,Furniture,7,250,0,South,Pending,15-04-2024,Net Banking,Neha
143,CUST1143,Printer,Electronics,8,2500,15,North,Pending,19-06-2024,Net Banking,Sneha
144,CUST1144,Notebook,Stationery,6,500,15,North,Completed,20-04-2024,Cash,Riya
145,CUST1145,Mouse,Electronics,6,500,20,North,Cancelled,15-04-2024,UPI,Riya
146,CUST1146,Printer,Electronics,7,150,10,East,Pending,09-02-2024,Cash,Neha
147,CUST1147,Monitor,Electronics,4,250,10,East,Completed,19-04-2024,UPI,Neha
148,CUST1148,Keyboard,Electronics,10,12000,20,North,Cancelled,16-02-2024,UPI,Aman
149,CUST1149,Notebook,Stationery,5,1500,10,North,Completed,18-01-2024,Card,Rahul
150,CUST1150,Chair,Furniture,1,250,20,South,Pending,28-03-2024,Net Banking,Priya
11,CUST1011,Cabinet,Furniture,6,750,15,West,Cancelled,08-03-2024,Net Banking,Karan
51,CUST1051,Mouse,Electronics,6,12000,10,North,Cancelled,19-06-2024,UPI,Vikas
